name,initial_fixing_1,initial_fixing_2,initial_fixing_3,down_in,autocall_barrier,maturity_months,is_euro_barrier,dist_to_barrier,dist_to_autoc
Autocall_1,0.538,0.913,0.835,0.781,1.03534,8,True,0.28694699999999995,-0.05473457999999998
Autocall_2,0.548,0.641,0.849,0.721,1.012249,28,False,0.3878710000000001,-0.1406005990000001
Autocall_3,1.174,0.917,1.804,0.529,0.931932,15,False,0.04568399999999995,0.6812053280000001
Autocall_4,0.917,0.823,1.645,0.466,0.975985,22,False,0.23342999999999992,0.6054953249999999
Autocall_5,1.406,1.711,1.595,0.522,1.094623,23,False,0.1068579999999999,0.8728999529999999
Autocall_6,1.328,1.744,1.428,0.556,1.01547,6,True,0.03033599999999992,0.7709796800000002
Autocall_7,1.492,1.66,1.978,0.498,1.073297,3,False,0.01495599999999997,1.1229814659999997
Autocall_8,1.18,1.751,0.744,0.493,1.034035,18,True,0.13675700000000002,0.810595285
Autocall_9,1.301,0.867,1.193,0.536,1.085078,11,True,0.30266400000000004,0.411686478
Autocall_10,1.764,1.664,0.844,0.454,0.963091,21,False,0.199144,0.6988925240000001
Autocall_11,0.816,1.914,1.815,0.473,1.031088,5,False,0.09467800000000004,0.9735024319999999
Autocall_12,0.714,0.709,1.617,0.541,1.049403,30,False,0.12520299999999995,0.6968846510000002
Autocall_13,1.043,1.996,0.707,0.475,1.051156,26,True,0.05190000000000006,1.0981073759999997
Autocall_14,1.441,1.688,1.133,0.459,0.976324,10,False,0.22520799999999996,0.648034912
Autocall_15,0.877,1.33,1.914,0.499,0.92291,34,False,0.04491400000000001,0.7664497399999999
Autocall_16,0.667,1.152,1.181,0.828,1.075171,22,False,0.02213200000000004,0.2697769510000001
Autocall_17,1.643,1.262,0.66,0.549,1.068334,33,True,0.09799299999999989,0.7552727619999999
Autocall_18,1.061,0.742,1.93,0.513,1.083699,10,False,0.009909999999999974,1.09153907
Autocall_19,0.529,1.894,1.818,0.515,0.961503,32,True,0.02459,0.821086682
Autocall_20,1.817,1.92,0.628,0.484,0.913843,16,True,0.07072000000000012,0.7545785599999999
Autocall_21,1.49,1.92,0.748,0.487,1.021319,9,True,0.06496000000000002,0.9609324800000001
Autocall_22,1.633,1.535,1.569,0.515,1.034337,35,False,0.15900499999999995,0.689072321
Autocall_23,1.849,1.177,0.872,0.456,0.904207,29,True,0.156856,0.671878743
Autocall_24,0.511,1.562,0.588,0.463,0.906283,15,False,0.276794,0.41561404599999996
Autocall_25,1.271,0.918,1.228,0.632,1.044671,5,False,0.19672800000000001,0.3277768409999997
Autocall_26,1.677,1.711,0.786,0.463,0.98621,16,False,0.20780699999999996,0.6874053100000002
Autocall_27,1.201,1.594,1.51,0.625,0.919684,27,False,0.00374999999999992,0.465976296
Autocall_28,1.701,0.664,0.787,0.524,0.928036,22,True,0.10867599999999988,0.578589236
Autocall_29,1.194,1.812,0.613,0.532,1.071193,18,True,0.03601599999999994,0.9410017160000002
Autocall_30,1.478,1.311,0.522,0.471,1.050713,4,True,0.3038620000000001,0.5529538140000001
Autocall_31,1.11,1.222,1.797,0.546,0.932927,11,True,0.01883799999999991,0.6764698189999998
Autocall_32,0.898,1.676,1.183,0.512,1.091464,25,False,0.14188800000000001,0.8292936639999999
Autocall_33,0.785,0.827,0.588,0.781,0.912192,10,False,0.354113,-0.24561721600000008
Autocall_34,0.575,1.215,1.879,0.494,0.911376,4,True,0.071774,0.7124755039999999
Autocall_35,0.603,0.602,1.793,0.493,1.088319,12,True,0.11605100000000002,0.951355967
Autocall_36,1.429,1.129,1.376,0.581,1.086941,3,True,0.16975099999999999,0.5532386890000001
Autocall_37,0.858,1.094,1.508,0.514,0.963235,21,True,0.22488799999999998,0.4525583799999999
Autocall_38,1.187,1.998,1.994,0.454,0.942631,1,False,0.09290799999999999,0.8833767379999999
Autocall_39,1.9,1.821,1.819,0.478,0.931549,9,False,0.0918000000000001,0.7699430999999999
Autocall_40,0.512,1.726,0.949,0.536,1.087786,34,True,0.07486399999999993,0.8775186359999998
Autocall_41,0.673,0.661,1.33,0.532,1.020966,17,False,0.2924399999999999,0.35788478000000024
Autocall_42,1.531,1.779,1.258,0.478,1.081632,14,True,0.14963800000000005,0.9242233279999998
Autocall_43,1.451,1.744,0.566,0.491,0.926164,6,False,0.14369600000000005,0.6152300159999999
Autocall_44,1.612,1.328,1.142,0.452,0.915049,11,True,0.27137599999999995,0.475058988
Autocall_45,0.554,1.054,1.329,0.58,0.908366,35,False,0.22918000000000005,0.20721841399999996
Autocall_46,1.848,0.815,0.874,0.459,1.056023,3,False,0.1517679999999999,0.9515305039999999
Autocall_47,1.889,0.855,0.744,0.513,0.93541,10,False,0.030942999999999943,0.76698949
Autocall_48,0.769,1.887,1.674,0.483,1.033981,2,True,0.08857900000000007,0.9511221470000002
Autocall_49,0.739,1.552,1.074,0.458,0.994138,18,True,0.289184,0.5429021759999999
Autocall_50,1.024,1.731,1.807,0.473,1.032007,30,False,0.1452890000000001,0.8648366489999997
Autocall_51,0.918,0.604,1.66,0.504,1.001881,22,False,0.16336000000000006,0.6631224599999999
Autocall_52,0.673,1.956,0.768,0.509,0.953093,2,True,0.0043959999999999555,0.8642499079999999
Autocall_53,1.019,1.68,1.155,0.593,0.923129,28,True,0.0037600000000000966,0.5508567199999999
Autocall_54,0.567,1.154,1.28,0.717,1.037371,17,True,0.08223999999999998,0.32783488000000016
Autocall_55,1.147,1.923,1.881,0.494,1.032677,24,True,0.05003800000000003,0.9858378710000002
Autocall_56,1.261,1.5,0.989,0.601,1.010882,20,True,0.09850000000000003,0.5163230000000001
Autocall_57,1.497,1.069,1.622,0.479,1.013821,27,False,0.22306199999999998,0.6444176620000002
Autocall_58,1.751,0.956,0.815,0.545,1.021332,36,False,0.045704999999999996,0.7883523319999997
Autocall_59,1.163,1.513,1.267,0.617,1.091966,30,True,0.06647900000000007,0.6521445579999998
Autocall_60,0.926,1.496,1.429,0.47,1.0904,6,True,0.29688000000000003,0.6312384
Autocall_61,0.837,0.799,0.537,0.56,0.995027,20,True,0.53128,-0.16716240100000002
Autocall_62,1.122,1.445,0.792,0.619,0.998875,30,True,0.105545,0.4433743750000001
Autocall_63,1.484,0.508,1.626,0.577,0.921317,10,False,0.06179800000000013,0.498061442
Autocall_64,0.764,1.937,1.277,0.453,0.94984,15,True,0.12253899999999995,0.8398400800000001
Autocall_65,0.7,1.197,1.297,0.629,0.96346,30,False,0.184187,0.24960761999999992
Autocall_66,1.14,1.86,1.169,0.464,1.072299,33,False,0.13695999999999986,0.99447614
Autocall_67,1.628,1.76,0.916,0.542,0.996919,17,True,0.0460799999999999,0.75457744
Autocall_68,1.16,1.57,0.852,0.513,1.078605,18,True,0.19458999999999993,0.6934098500000001
Autocall_69,0.726,1.075,0.729,0.546,0.982974,9,False,0.41305000000000003,0.056697049999999916
Autocall_70,1.199,0.593,1.749,0.497,1.053959,35,True,0.13074699999999995,0.8433742910000002
Autocall_71,1.215,1.914,0.948,0.478,1.078328,25,False,0.08510800000000007,1.0639197919999996
Autocall_72,1.621,1.319,1.405,0.487,0.943884,35,False,0.210573,0.5300359639999999
Autocall_73,0.544,1.004,1.519,0.534,0.933009,32,False,0.18885399999999997,0.41724067099999984
Autocall_74,1.971,1.301,1.86,0.484,1.0326,9,True,0.046035999999999966,1.0352546
Autocall_75,0.704,1.193,0.575,0.597,0.942332,28,False,0.287779,0.124202076
Autocall_76,1.642,1.069,1.628,0.582,0.950454,22,True,0.04435600000000017,0.5606454679999999
Autocall_77,0.529,1.309,2.0,0.467,1.030029,31,True,0.06599999999999995,1.0600580000000002
