name,initial_fixing_1,initial_fixing_2,initial_fixing_3,down_in,autocall_barrier,maturity_months,is_euro_barrier,dist_to_barrier,dist_to_autoc
Autocall_1,1.546,1.529,0.538,0.509,1.068,16,True,0.213086,0.6511280000000002
Autocall_2,0.621,0.787,1.874,0.498,0.953,32,False,0.06674799999999992,0.785922
Autocall_3,1.401,1.347,0.826,0.652,0.94,25,True,0.08654799999999996,0.31694
Autocall_4,0.731,0.632,1.222,0.488,1.025,9,False,0.403664,0.25254999999999983
Autocall_5,1.04,0.976,1.185,0.511,1.09,4,True,0.39446499999999995,0.2916500000000002
Autocall_6,0.995,1.74,0.873,0.572,0.976,21,False,0.0047200000000000575,0.69824
Autocall_7,1.77,0.508,1.528,0.529,0.918,27,True,0.0636699999999999,0.6248600000000002
Autocall_8,0.549,1.181,0.677,0.626,1.005,12,False,0.260694,0.18690499999999988
Autocall_9,1.213,0.569,0.954,0.653,1.042,12,True,0.20791099999999996,0.26394600000000024
Autocall_10,0.823,1.056,1.084,0.599,0.93,32,False,0.350684,0.008120000000000127
Autocall_11,1.522,0.914,0.615,0.452,0.964,20,True,0.312056,0.46720800000000007
Autocall_12,0.669,1.86,1.681,0.526,1.052,1,False,0.02163999999999988,0.9567200000000002
Autocall_13,1.88,1.203,1.735,0.522,1.013,6,True,0.01863999999999999,0.9044399999999997
Autocall_14,0.536,0.707,0.582,0.562,0.903,24,False,0.6026659999999999,-0.361579
Autocall_15,1.156,1.634,1.33,0.517,0.991,36,True,0.15522200000000008,0.6192939999999998
Autocall_16,0.854,0.736,0.759,0.772,1.081,16,False,0.340712,-0.07682600000000006
Autocall_17,1.1,1.023,1.415,0.466,0.912,18,False,0.34060999999999997,0.29048000000000007
Autocall_18,0.887,0.574,0.683,0.813,1.023,34,True,0.27886900000000003,-0.0925990000000001
Autocall_19,1.996,1.965,1.097,0.48,1.084,23,False,0.04192000000000007,1.1636640000000003
Autocall_20,0.522,0.846,0.881,0.573,0.994,7,True,0.49518700000000004,-0.12428600000000001
Autocall_21,1.467,0.654,0.783,0.562,0.933,3,False,0.17554599999999987,0.36871100000000023
Autocall_22,0.703,1.272,1.266,0.667,1.045,18,True,0.15157599999999993,0.32924
Autocall_23,1.246,0.743,0.511,0.785,1.061,30,False,0.021889999999999965,0.322006
Autocall_24,0.775,1.584,1.941,0.462,0.973,13,True,0.10325799999999996,0.888593
Autocall_25,1.703,0.831,1.375,0.565,0.986,10,False,0.03780500000000009,0.6791580000000002
Autocall_26,0.576,1.415,0.72,0.459,1.099,29,True,0.3505149999999999,0.555085
Autocall_27,1.07,0.612,1.793,0.49,1.008,23,False,0.12143000000000004,0.8073439999999998
Autocall_28,0.938,1.359,0.552,0.594,0.921,3,True,0.1927540000000001,0.25163899999999995
Autocall_29,1.336,1.757,0.622,0.538,0.957,7,False,0.05473399999999995,0.6814489999999997
Autocall_30,0.759,0.947,1.556,0.525,1.071,27,True,0.18309999999999993,0.6664760000000001
Autocall_31,1.64,1.094,0.964,0.483,1.035,33,False,0.20788000000000006,0.6973999999999998
Autocall_32,0.604,0.537,1.003,0.864,0.949,14,True,0.13340800000000008,-0.04815300000000011
Autocall_33,1.357,0.881,1.975,0.476,0.924,14,False,0.05989999999999995,0.8249000000000002
Autocall_34,0.708,1.888,0.511,0.503,1.011,33,True,0.05033600000000005,0.9087679999999998
Autocall_35,1.596,0.545,1.273,0.625,1.096,26,False,0.0024999999999999467,0.7492160000000003
Autocall_36,0.642,1.078,0.792,0.513,0.983,8,True,0.446986,0.059674000000000005
Autocall_37,1.827,1.658,0.914,0.461,0.946,4,False,0.15775300000000003,0.7283419999999998
Autocall_38,0.567,0.71,1.133,0.775,1.032,22,True,0.12192499999999995,0.16925600000000007
Autocall_39,1.008,1.228,0.701,0.664,1.074,29,False,0.184608,0.31887200000000004
Autocall_40,0.964,0.678,1.477,0.514,0.96,10,True,0.24082199999999998,0.41792000000000007
Autocall_41,1.507,1.305,1.04,0.6,0.998,13,False,0.09580000000000011,0.5039859999999998
Autocall_42,0.662,0.638,0.994,0.642,1.087,30,True,0.36185199999999995,0.08047800000000005
Autocall_43,1.225,1.491,1.596,0.491,1.019,19,False,0.216364,0.6263239999999999
Autocall_44,0.831,0.79,0.648,0.853,0.909,2,True,0.291157,-0.24462099999999998
Autocall_45,1.167,0.513,0.562,0.794,0.97,6,False,0.07340199999999997,0.13199000000000005
Autocall_46,0.863,1.145,1.795,0.453,1.058,24,True,0.18686500000000006,0.8991100000000001
Autocall_47,1.861,0.98,0.725,0.478,1.048,34,False,0.11044200000000004,0.9503280000000001
Autocall_48,0.531,1.696,1.392,0.528,0.936,18,True,0.10451199999999994,0.587456
Autocall_49,1.931,0.603,0.649,0.461,1.055,17,True,0.10980899999999993,1.0372049999999997
Autocall_50,0.505,1.41,1.489,0.664,0.967,35,False,0.01130399999999987,0.4398630000000001
Autocall_51,1.137,0.815,0.846,0.722,0.927,25,True,0.17908599999999997,0.05399900000000013
Autocall_52,0.916,1.476,1.142,0.563,1.039,5,False,0.16901200000000005,0.5335639999999999
Autocall_53,1.288,1.135,1.208,0.534,1.078,1,True,0.31220799999999993,0.38846400000000014
Autocall_54,0.801,0.53,0.82,0.724,0.988,20,False,0.40632,-0.18984
Autocall_55,1.419,1.832,1.872,0.516,0.906,31,True,0.03404799999999997,0.6960320000000002
Autocall_56,0.68,0.927,0.529,0.486,1.016,13,False,0.5494779999999999,-0.058167999999999886
Autocall_57,1.058,1.947,0.75,0.509,1.028,11,True,0.008976999999999902,1.001516
Autocall_58,0.927,0.872,1.321,0.509,0.943,28,False,0.327611,0.24570299999999978
Autocall_59,1.722,1.019,0.581,0.503,0.95,21,True,0.133834,0.6358999999999999
Autocall_60,0.583,0.589,1.704,0.549,1.065,4,False,0.0645039999999999,0.8147599999999999
Autocall_61,1.659,0.767,1.613,0.529,1.001,9,True,0.12238899999999997,0.6606589999999999
Autocall_62,0.611,1.569,0.6,0.516,0.915,25,False,0.190396,0.435635
Autocall_63,1.32,0.672,1.051,0.465,0.98,33,True,0.3862,0.2936000000000001
Autocall_64,0.751,1.267,0.92,0.729,1.093,15,False,0.07635700000000012,0.3848309999999999
Autocall_65,1.011,0.692,1.302,0.66,1.014,15,False,0.14067999999999992,0.32022799999999996
Autocall_66,0.97,1.201,0.743,0.628,0.902,32,True,0.245772,0.08330199999999999
Autocall_67,1.797,0.725,1.697,0.464,0.993,25,False,0.166192,0.7844209999999998
Autocall_68,0.558,1.623,0.57,0.616,1.08,9,True,0.00023200000000000998,0.7528400000000002
Autocall_69,1.586,1.055,0.602,0.587,1.043,5,False,0.06901800000000002,0.6541980000000001
Autocall_70,0.64,0.557,1.645,0.468,0.928,21,True,0.2301399999999999,0.5265600000000001
Autocall_71,1.377,1.848,0.933,0.477,0.965,28,False,0.11850399999999994,0.78332
Autocall_72,0.72,0.9,1.061,0.712,1.05,11,True,0.24456800000000012,0.11404999999999998
Autocall_73,1.853,1.733,1.496,0.489,1.088,12,False,0.09388300000000005,1.016064
Autocall_74,0.526,0.959,0.663,0.763,0.978,31,True,0.26828300000000005,-0.0620980000000001
